Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
,,,,,,66.96540140011348,None,5,1,44.6617333998438,66.96540140011348,None,,,,,,,,,,,,,,,,,,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/bu3-iN.wav,3,0,0,0,22,,,,,,,,111.68778917007148,111.98834180017002,None,0,111.68931749998592,None,111.68931749998592,None,2.5,1.6,113.67114250012673,None,116.17332629999146,None,116.9388519001659,None,,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/mi4-aN.wav,4,0,1,1,19,,,,,,,,119.438141890103,119.73902300000191,None,0,119.43963230005465,None,119.43963230005465,None,2.2,1.9,121.45463420008309,None,123.65503849997185,None,124.40531750000082,None,,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/di1-aN.wav,1,0,2,2,4,,,,,,,,126.60635579004884,126.90555110014975,1,1,126.6186936001759,None,126.6186936001759,None,3.1,1.5,128.62163850013167,None,131.73156920005567,None,132.48884570016526,None,1.248276799917221,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/mi3-aN.wav,3,0,3,3,18,,,,,,,,135.58913278998807,135.88898869999684,None,0,135.5911972001195,None,135.5911972001195,None,2.8,3.0,137.6057244001422,None,140.41070200013928,None,141.17339919996448,None,,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/mi1-iN.wav,1,0,4,4,36,,,,,,,,143.9898405901622,None,1,1,143.99085290008225,None,143.99085290008225,None,2.1,1.1,146.00516739999875,None,148.10809540003538,None,148.87164549995214,None,1.0784237999469042,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/di4-aN.wav,4,0,5,5,7,,,,,,,,150.9721115899738,151.271526100114,3,0,150.97378210001625,None,150.97378210001625,None,2.5,2.0,152.98860649997368,None,155.49397850013338,None,156.25562930013984,None,0.9977725001517683,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/bu4-iN.wav,4,0,6,6,23,,,,,,,,158.75569269014522,159.056208900176,1,0,158.75769730005413,None,158.75769730005413,None,3.0,1.6,160.76850809995085,None,163.7723968999926,None,164.52132309996523,None,1.7212580998893827,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/ma4-iN.wav,4,0,7,7,35,,,,,,,,167.52211709017865,167.82239100011066,2,0,167.52217789995484,None,167.52217789995484,None,3.3,2.7,169.5225690000225,None,172.82178430003114,None,173.57235840009525,None,1.31019699992612,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/bu2-iN.wav,2,0,8,8,21,,,,,,,,176.87235648999922,177.17242960003205,None,0,176.87279170006514,None,176.87279170006514,None,2.6,2.8,178.87333840015344,None,181.49290690012276,None,182.2551254001446,None,,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/null.wav,0,0,9,9,42,,,,,,,,184.85603149002418,185.1550243999809,None,0,184.85800769994967,None,184.85800769994967,None,2.7,1.8,186.87233040016145,None,189.57294490002096,None,190.32236380013637,None,,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
stimuli/di3-aN.wav,3,0,10,10,6,,,,,,,,193.0239393899683,193.32205690001138,3,1,193.02503330004402,None,193.02503330004402,None,3.4,2.7,195.03880580002442,None,198.44029569998384,None,199.20577810006216,None,1.628770399838686,Subj_047,Run1,group_mand,2022_Jul_29_1506,Tone_Learning,2021.1.4,59.946108442914394,
