Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,12.578057218650429,None,5,1,21.42071052991014,12.578057218650429,None,,,,,,,,,,,,,,,,,,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di4-aN.wav,4,0,0,0,7,,,,,,,,34.07771500522722,34.37779052574842,4,1,1.2631546910834004,34.07766935317704,None,34.07766935317704,None,2.4,1.4,36.060963180383624,None,38.4776860568727,None,39.22792971141462,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu1-iN.wav,1,0,1,1,20,,,,,,,,41.64314730889964,None,1,1,0.8722128362242074,41.64316836546641,None,41.64316836546641,None,3.0,2.3,43.644440252792265,None,46.64466815914602,None,47.39495675795479,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu3-iN.wav,3,0,2,2,30,,,,,,,,50.39477008000176,None,3,1,1.149694131268916,50.394839265858536,None,50.394839265858536,None,2.5,2.7,52.39551236816624,None,54.89547981011674,None,55.645543333703245,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu2-iN.wav,2,0,3,3,29,,,,,,,,58.145243764249244,58.445530735154534,4,0,1.5410411923039646,58.14569479941747,None,58.14569479941747,None,3.8,1.1,60.14555218100031,None,63.947239678920596,None,64.71276190651406,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/null.wav,0,0,4,4,44,,,,,,,,68.51302445888177,68.81318898320569,None,0,,68.51313044949165,None,68.51313044949165,None,3.4,1.6,70.51312832614167,None,73.91320802258633,None,74.66318307321126,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu1-aN.wav,1,0,5,5,8,,,,,,,,78.06314757785731,None,1,1,1.2374331232858822,78.06325392236067,None,78.06325392236067,None,2.2,2.1,80.06326064630593,None,82.2662013460631,None,83.03099278697664,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/di2-aN.wav,2,0,6,6,5,,,,,,,,85.23097902058362,None,2,1,1.2774140555939084,85.23108147227504,None,85.23108147227504,None,2.3,1.3,87.23132565765445,None,89.53085264580113,None,90.2811253194759,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma2-aN.wav,2,0,7,7,13,,,,,,,,92.58079404131058,None,3,0,1.4734273222929914,92.58093046661998,None,92.58093046661998,None,2.9,1.1,94.58117005140593,None,97.49790602189387,None,98.24785630008955,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu4-iN.wav,4,0,8,8,23,,,,,,,,101.14796236147777,None,4,1,1.6837859492188727,101.14796430788374,None,101.14796430788374,None,3.3,2.9,103.14791016242998,None,106.44975018773948,None,107.21463859502182,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma2-iN.wav,2,0,9,9,33,,,,,,,,110.51471960086747,110.8147899899559,1,0,1.0836533105521085,110.51463413598321,None,110.51463413598321,None,2.3,2.4,112.51477215380692,None,114.81666207786839,None,115.58258880385256,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma3-iN.wav,3,0,10,10,34,,,,,,,,117.88240509859133,118.18271825749252,3,1,1.1932076120720012,117.88280446554927,None,117.88280446554927,None,3.7,2.6,119.88245658985579,None,123.5838808630142,None,124.3492795823513,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/null.wav,0,0,11,11,43,,,,,,,,128.04957547133017,128.34986810450573,None,0,,128.04964607275542,None,128.04964607275542,None,2.0,2.8,130.04948646752928,None,132.04988884256818,None,132.79971455083069,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/null.wav,0,0,12,12,42,,,,,,,,134.79973525350397,135.09989234609748,None,0,,134.80042091897303,None,134.80042091897303,None,3.0,2.0,136.799559546198,None,139.79978108249816,None,140.54990264435037,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/mi1-aN.wav,1,0,13,13,16,,,,,,,,143.5498649548681,143.8499558696858,1,1,0.9384019376284414,143.55030749663274,None,143.55030749663274,None,3.8,1.9,145.54998510115365,None,149.36667372091142,None,150.1173413378947,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu2-aN.wav,2,0,14,14,9,,,,,,,,153.91764564950063,None,3,0,1.1071308500977466,153.91739527101345,None,153.91739527101345,None,3.7,2.2,155.91752833435203,None,159.61904532717745,None,160.38424657485848,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu3-iN.wav,3,0,15,15,22,,,,,,,,164.08431597305025,None,2,0,1.951696239049852,164.08408364304705,None,164.08408364304705,None,2.3,2.0,166.0843727726933,None,168.38439450165242,None,169.13439149357146,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/bu2-iN.wav,2,0,16,16,21,,,,,,,,171.43443003239554,None,2,1,0.9655029758760065,171.43448400090347,None,171.43448400090347,None,2.4,2.5,173.43424406222584,None,175.836005098874,None,176.60118546693593,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/lu1-iN.wav,1,0,17,17,28,,,,,,,,179.00156650229655,179.30132582044462,1,1,1.3203648483467987,179.00173265452213,None,179.00173265452213,None,3.3,2.3,181.00124782267994,None,184.30134953119887,None,185.05130087106954,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
stimuli/ma1-aN.wav,1,0,18,18,12,,,,,,,,188.3512594303338,188.65174351900168,1,1,1.2827748094114213,188.35143513763978,None,188.35143513763978,None,2.7,1.3,190.35141425802067,None,193.05147144694274,None,193.80289214579534,None,Subj_015,Run3,2021_Oct_20_1219,Tone_Learning,2021.1.4,59.998301367228265,
