Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,13.819352194740986,None,5,1,31.06240586283434,13.819352194740986,None,,,,,,,,,,,,,,,,,,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/ma3-aN.wav,3,0,0,0,14,,,,,,,,44.95398150664783,45.2541370807005,2,0,1.453147295644385,44.97045685545072,None,44.97045685545072,None,3.2,2.7,46.93755414656539,None,50.15425330117114,None,50.90422569703992,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/di2-aN.wav,2,0,1,1,5,,,,,,,,54.10428072835278,54.404262502548136,2,1,1.1997112890987864,54.10429690154251,None,54.10429690154251,None,3.2,2.5,56.1042997327354,None,59.321076745147366,None,60.07106542037559,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/di3-iN.wav,3,0,2,2,26,,,,,,,,63.27109355535556,63.57108877771748,3,1,1.1111444955945444,63.27118687855318,None,63.27118687855318,None,2.9,1.4,65.27111963772063,None,68.17119940658199,None,68.92113181185027,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/lu3-iN.wav,3,0,3,3,30,,,,,,,,71.8211713423819,None,3,1,1.076804248488088,71.82124661672447,None,71.82124661672447,None,2.9,2.6,73.82193813560298,None,76.72197897556134,None,77.47284178161317,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/mi4-iN.wav,4,0,4,4,39,,,,,,,,80.37216643592463,None,4,1,1.1374951161922127,80.37223109329352,None,80.37223109329352,None,2.0,2.6,82.37239636418212,None,84.37233867862574,None,85.12238999399801,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/mi2-iN.wav,2,0,5,5,37,,,,,,,,87.12241735039977,87.42255130121634,2,1,1.7131527315350468,87.12247351419,None,87.12247351419,None,2.4,2.2,89.12247846877767,None,91.52235191445288,None,92.27267750164219,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/bu4-iN.wav,4,0,6,6,23,,,,,,,,94.67257547252628,94.9726708483388,4,1,1.0716932374125463,94.67266384113623,None,94.67266384113623,None,2.9,2.9,96.67298942832554,None,99.57271919095842,None,100.3227797077077,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/bu3-iN.wav,3,0,7,7,22,,,,,,,,103.22274456552516,103.52279181105769,3,1,1.4363084216665811,103.22283576532823,None,103.22283576532823,None,2.9,1.5,105.2228109923899,None,108.12290597891342,None,108.87297640483803,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/di4-iN.wav,4,0,8,8,27,,,,,,,,111.77304601679482,112.07306034970907,4,1,0.8479313180901045,111.77313190811083,None,111.77313190811083,None,3.8,2.7,113.77314641797489,None,117.57332365065349,None,118.32365773142192,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/ma2-aN.wav,2,0,9,9,13,,,,,,,,122.12416844324032,122.42374429514621,1,0,1.4577079935902475,122.12424867217055,None,122.12424867217055,None,2.3,2.4,124.12424124028917,None,126.44109526114926,None,127.19098661411977,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/ma3-iN.wav,3,0,10,10,34,,,,,,,,129.49096010707586,129.79101018380106,2,0,1.0414185833842566,129.49121410047337,None,129.49121410047337,None,3.2,1.0,131.49106970963294,None,134.69111507949992,None,135.44139784489607,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/lu2-aN.wav,2,0,11,11,9,,,,,,,,138.64110393167772,138.9411692260653,2,1,1.72105919175101,138.6411533713847,None,138.6411533713847,None,2.0,1.9,140.64061155183367,None,142.6425388864352,None,143.40796110224005,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/null.wav,0,0,12,12,43,,,,,,,,145.40799447492697,145.70807817206878,None,0,,145.4081500843697,None,145.4081500843697,None,2.6,2.6,147.40801064811671,None,150.00848473137648,None,150.75813614074445,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
stimuli/bu4-aN.wav,4,0,13,13,3,,,,,,,,153.35804019869312,None,4,1,1.1687603338541521,153.35814555446086,None,153.35814555446086,None,3.7,2.7,155.35824216892047,None,159.06000465731245,None,159.82420592115704,None,Subj_014,Run1,2021_Oct_18_0959,Tone_Learning,2021.1.4,60.00420461613855,
