Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,11.154091215374137,None,5,1,25.050874060043498,11.154091215374137,None,,,,,,,,,,,,,,,,,,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/lu4-aN.wav,4,0,0,0,11,,,,,,,,36.272052728137716,None,None,0,36.27182495866509,None,36.27182495866509,None,3.0,1.1,38.25535767876136,None,41.272096399288785,None,42.022084366719355,None,,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/bu4-aN.wav,4,0,1,1,3,,,,,,,,45.02214414027949,45.32215967645061,4,1,45.02246056148215,None,45.02246056148215,None,2.0,1.2,47.0221954910412,None,49.03898658863909,None,49.78908461869469,None,1.6822088542721758,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/bu2-iN.wav,2,0,2,2,21,,,,,,,,51.788935591776315,52.0890279240557,3,0,51.78973331577981,None,51.78973331577981,None,2.4,1.6,53.789018793459036,None,56.19054990260702,None,56.95568121333599,None,1.0914294834765315,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/mi2-iN.wav,2,0,3,3,37,,,,,,,,59.355721664005976,None,2,1,59.35571391361373,None,59.35571391361373,None,2.9,2.1,61.35548458698577,None,64.25718910670184,None,65.02280313582924,None,1.7381486263057013,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/mi2-aN.wav,2,0,4,4,17,,,,,,,,67.92292215210219,68.22288708069937,2,1,67.92294271364153,None,67.92294271364153,None,3.9,1.1,69.92288078129604,None,73.8235512077863,None,74.57405905302221,None,1.6466756132358569,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/null.wav,0,0,5,5,41,,,,,,,,78.47431608995285,78.77403718205642,None,0,78.47432815791217,None,78.47432815791217,None,3.8,1.6,80.47434656066616,None,84.27446044540375,None,85.0245029132966,None,,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/ma2-iN.wav,2,0,6,6,33,,,,,,,,88.82476575417277,None,1,0,88.82481073475174,None,88.82481073475174,None,3.1,2.9,90.8247643739669,None,93.94153763504801,None,94.69153621945043,None,1.660374340332055,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/ma3-aN.wav,3,0,7,7,14,,,,,,,,97.79134635257324,98.09159227707096,2,0,97.7913318780993,None,97.7913318780993,None,2.3,1.7,99.79157359119745,None,102.09173206722335,None,102.84162660528636,None,1.5715477848752926,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/ma1-iN.wav,1,0,8,8,32,,,,,,,,105.14164596356787,105.44141730934643,4,0,105.14166935630055,None,105.14166935630055,None,2.3,2.5,107.14173199644392,None,109.44172343208447,None,110.19176236098792,None,1.33102307988338,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/di2-iN.wav,2,0,9,9,25,,,,,,,,112.49287632924498,112.79287133926664,3,0,112.49288450431413,None,112.49288450431413,None,3.3,1.6,114.49287317954258,None,117.79308615603259,None,118.54312508493604,None,1.709761316278673,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/mi4-aN.wav,4,0,10,10,19,,,,,,,,121.84318160262447,None,None,0,121.8432849765577,None,121.8432849765577,None,3.7,1.8,123.84318553090452,None,127.55968367081186,None,128.3099604199233,None,,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/mi3-iN.wav,3,0,11,11,38,,,,,,,,132.0100022154078,132.309994040339,3,1,132.01000614368786,None,132.01000614368786,None,2.5,1.4,134.01002383864397,None,136.5112263878509,None,137.27652473896342,None,1.2242499462081469,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/lu4-iN.wav,4,0,12,12,31,,,,,,,,139.77680039098814,140.07661066567016,4,1,139.77757121865943,None,139.77757121865943,None,3.4,1.2,141.77686872890808,None,145.17696725442147,None,145.9270210470877,None,1.621253270028319,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/bu1-iN.wav,1,0,13,13,20,,,,,,,,149.32694718834173,149.62703208874154,1,1,149.32723742101007,None,149.32723742101007,None,3.8,2.5,151.32675470261165,None,155.12713082659502,None,155.87706464746043,None,1.328377683970757,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/ma3-iN.wav,3,0,14,14,34,,,,,,,,159.6771508926744,None,None,0,159.67739511845684,None,159.67739511845684,None,2.3,1.5,161.67713712600016,None,163.99382976886045,None,164.74385737299235,None,,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/lu3-iN.wav,3,0,15,15,30,,,,,,,,167.04388487095494,167.3438940369415,3,1,167.04383819166105,None,167.04383819166105,None,2.1,1.0,169.0437146808672,None,171.1460676145507,None,171.89520233120493,None,1.0997701779124327,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/bu4-iN.wav,4,0,16,16,23,,,,,,,,173.99496008725728,174.29533129204356,None,0,173.9950054217352,None,173.9950054217352,None,3.0,1.5,175.99545487361502,None,179.01187756222862,None,179.7620499110999,None,,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/mi1-iN.wav,1,0,17,17,36,,,,,,,,182.762415099602,None,1,1,182.76209060949986,None,182.76209060949986,None,2.3,2.9,184.7621705907004,None,187.06309030373086,None,187.81215353276275,None,1.1568703851553437,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/null.wav,0,0,18,18,40,,,,,,,,190.1119428566166,190.41218594992097,None,0,190.11191811906792,None,190.11191811906792,None,3.7,2.8,192.1122093780432,None,195.81228872222528,None,196.5622536862138,None,,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/mi1-aN.wav,1,0,19,19,16,,,,,,,,200.26234007298845,200.56232800502767,4,0,200.26233338429483,None,200.26233338429483,None,3.3,2.9,202.26234683246184,None,205.57911768702797,None,206.3291010537705,None,1.6390303305688576,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/null.wav,0,0,20,20,42,,,,,,,,209.6299407502087,209.929992030191,None,0,209.62999882505392,None,209.62999882505392,None,3.1,2.1,211.63003173767356,None,214.73060172759324,None,215.48054156474427,None,,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/di1-aN.wav,1,0,21,21,4,,,,,,,,218.58065286601632,None,1,1,218.58071200255836,None,218.58071200255836,None,4.0,1.9,220.580626005074,None,224.58238736098792,None,225.347376050373,None,1.1711289806589775,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/ma4-iN.wav,4,0,22,22,35,,,,,,,,229.34737990787326,229.6473781029872,4,1,229.3474372749206,None,229.3474372749206,None,3.0,2.3,231.34740931688975,None,234.34746346345491,None,235.09746983363948,None,1.4782412204694992,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
stimuli/di3-aN.wav,3,0,23,23,6,,,,,,,,238.09783891502994,238.39727724173827,3,1,238.09761387058097,None,238.09761387058097,None,3.1,2.2,240.0976425364097,None,243.19770822008468,None,243.94758754048598,None,1.38319665749259,Subj_011,Run2,2021_Oct_13_1147,Tone_Learning,2021.1.4,60.010703818602195,
