Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,12.892360167381412,None,5,1,25.034651678330192,12.892360167381412,None,,,,,,,,,,,,,,,,,,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/mi4-iN.wav,4,0,0,0,39,,,,,,,,37.99376182023152,38.293496325111846,3,0,1.7421579494239268,38.010412773777716,None,38.010412773777716,None,3.0,1.4,39.97725950431595,None,42.99423073656362,None,43.744130229213624,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/lu1-iN.wav,1,0,1,1,28,,,,,,,,46.74410545627561,47.04421721761719,2,0,0.8958266092486156,46.7445145636575,None,46.7445145636575,None,2.6,2.4,48.74436769552267,None,51.34431836198564,None,52.094360475981375,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/null.wav,0,0,2,2,43,,,,,,,,54.694295924781365,54.99437265011147,None,0,,54.69453303719092,None,54.69453303719092,None,3.5,1.8,56.6944247440606,None,60.19438616905609,None,60.944396786029756,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/bu3-iN.wav,3,0,3,3,22,,,,,,,,64.44443571493375,None,3,1,1.4612636180390837,64.44457621288348,None,64.44457621288348,None,2.6,3.0,66.44456028742388,None,69.06125109001005,None,69.81122277808026,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/null.wav,0,0,4,4,41,,,,,,,,72.4117902907079,72.71339267513758,None,0,,72.41201820173956,None,72.41201820173956,None,3.0,1.9,74.41270865892147,None,77.41277625365365,None,78.16307600620712,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/bu1-aN.wav,1,0,5,5,0,,,,,,,,81.16281341306112,None,3,0,1.1736275084367662,81.1628194293462,None,81.1628194293462,None,2.5,1.8,83.163108564926,None,85.66466465935082,None,86.429501879913,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/ma1-iN.wav,1,0,6,6,32,,,,,,,,88.92977367443618,None,2,0,0.7856369334785995,88.92956345835955,None,88.92956345835955,None,2.5,2.0,90.9295797377199,None,93.42961265033773,None,94.1796936932351,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/ma2-aN.wav,2,0,7,7,13,,,,,,,,96.67972129736754,None,4,0,1.2300875121745776,96.67976128796727,None,96.67976128796727,None,3.0,1.7,98.67986745770213,None,101.67994850060131,None,102.43017074924683,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/ma2-iN.wav,2,0,8,8,33,,,,,,,,105.43005502423566,None,1,0,1.058738052364788,105.43004653065691,None,105.43004653065691,None,3.7,2.2,107.42977084324411,None,111.13006323469563,None,111.88011702736185,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/mi4-aN.wav,4,0,9,9,19,,,,,,,,115.58016452062347,None,2,0,0.6683480413794314,115.58019141695695,None,115.58019141695695,None,3.1,2.8,117.58078419798039,None,120.68114007893382,None,121.43146035763675,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/di1-iN.wav,1,0,10,10,24,,,,,,,,124.53146694016013,None,3,0,0.6267673721995379,124.53154055117739,None,124.53154055117739,None,3.1,1.4,126.53199849663724,None,129.63136912244408,None,130.38134859629463,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/ma4-aN.wav,4,0,11,11,15,,,,,,,,133.48161706416667,133.78171396174548,4,1,1.1380132245030836,133.48191610892172,None,133.48191610892172,None,2.5,1.4,135.48184320570363,None,137.99840603836856,None,138.74843258080364,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/di3-aN.wav,3,0,12,12,6,,,,,,,,141.2484899124598,None,3,1,1.1577144345537818,141.24828535876986,None,141.24828535876986,None,3.0,2.0,143.2484725714039,None,146.24867570949755,None,146.9987263170715,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/null.wav,0,0,13,13,44,,,,,,,,149.99872808656673,150.29889576397,None,0,,149.99879072671138,None,149.99879072671138,None,2.1,2.4,151.99890185103504,None,154.09894913195785,None,154.84906237967516,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
stimuli/bu4-iN.wav,4,0,14,14,23,,,,,,,,156.94906542320732,None,2,0,1.7173064454927953,156.94911709247936,None,156.94911709247936,None,2.0,1.3,158.94910364431234,None,160.96652928302865,None,161.71650486399085,None,Subj_013,Run4,2021_Oct_18_1333,Tone_Learning,2021.1.4,60.00089183945896,
