Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,11.674379544064323,None,5,1,25.67456038651426,11.674379544064323,None,,,,,,,,,,,,,,,,,,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
stimuli/ma3-aN.wav,3,0,0,0,14,,,,,,,,37.42511211524061,37.725177161898955,None,0,37.42457949706659,None,37.42457949706659,None,3.4,1.2,39.408372333015905,None,42.82543288940224,None,43.57549340615151,None,,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
stimuli/ma4-iN.wav,4,0,1,1,35,,,,,,,,46.97548487718291,None,4,1,46.97554026239459,None,46.97554026239459,None,2.4,3.0,48.97563687685442,None,51.39232159237599,None,52.142285140766944,None,1.0618987253969863,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
stimuli/di1-aN.wav,1,0,2,2,4,,,,,,,,54.54230103083705,54.84208490464516,1,1,54.5423443834793,None,54.5423443834793,None,2.1,1.6,56.54231854884347,None,58.64234459581894,None,59.392369368757045,None,1.362729609748385,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
stimuli/bu1-aN.wav,1,0,3,3,0,,,,,,,,61.492298624322984,61.79239994564114,1,1,61.49239576963146,None,61.49239576963146,None,2.6,2.8,63.49241381848651,None,66.0924550831237,None,66.84249719711897,None,1.1079502021470944,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
stimuli/di1-iN.wav,1,0,4,4,24,,,,,,,,69.44244874832953,None,1,1,69.44250590303727,None,69.44250590303727,None,2.0,2.3,71.44253209157205,None,73.44410375755933,None,74.19380471280374,None,0.9843353632991239,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
stimuli/di4-iN.wav,4,0,5,5,27,,,,,,,,76.1935171697694,None,4,1,76.19357538617442,None,76.19357538617442,None,2.9,2.8,78.1944130653892,None,81.09390430001577,None,81.84364843095273,None,1.119110410862504,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
stimuli/lu3-aN.wav,3,0,6,6,10,,,,,,,,84.74387489099877,85.04401832631174,3,1,84.74392886061469,None,84.74392886061469,None,3.4,1.4,86.74392709111908,None,90.14419867330298,None,90.89416257559287,None,1.0184257576270284,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
stimuli/lu2-aN.wav,2,0,7,7,9,,,,,,,,94.29399408422228,94.59420192917469,2,1,94.29401832631174,None,94.29401832631174,None,3.0,1.1,96.2940820281533,None,99.29493881791996,None,100.04500818214728,None,1.2122163144663318,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
stimuli/mi2-aN.wav,2,0,8,8,17,,,,,,,,103.04601237089742,103.34607653280773,2,1,103.04645350614919,None,103.04645350614919,None,3.2,2.6,105.04626240062498,None,108.24620089295831,None,108.99621611062003,None,1.2906102777965316,Subj_010,Run4,2021_Oct_15_1025,Tone_Learning,2021.1.4,59.99821640159849,
