Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
,,,,,,36.50329827208748,None,5,1,43.09369286858373,36.50329827208748,None,,,,,,,,,,,,,,,,,,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
stimuli/bu3-iN.wav,3,0,0,0,22,,,,,,,,79.67108859257905,None,None,0,79.67096373953268,None,79.67096373953268,None,3.8,1.2,81.65473284349969,None,85.47143455725654,None,86.2214595066323,None,,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
stimuli/mi4-iN.wav,4,0,1,1,39,,,,,,,,90.02143618515902,None,None,0,90.02146389489121,None,90.02146389489121,None,2.4,1.0,92.02242011068324,None,94.42348256481,None,95.17269604016246,None,,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
stimuli/di1-iN.wav,1,0,2,2,24,,,,,,,,97.57271794606822,None,1,1,97.57275733423171,None,97.57275733423171,None,3.2,2.1,99.57337629108588,None,102.78959855215749,None,103.5399299718797,None,1.6583860691180234,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
stimuli/mi2-aN.wav,2,0,3,3,17,,,,,,,,106.7397740117392,None,None,0,106.73979181249956,None,106.73979181249956,None,2.6,1.2,108.73984418849409,None,111.34167904698324,None,112.10659930453176,None,,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
stimuli/di1-aN.wav,1,0,4,4,4,,,,,,,,114.70661682217838,115.00636191387548,None,0,114.70665054807228,None,114.70665054807228,None,2.2,2.7,116.70663497683063,None,118.90670525975293,None,119.65668668043054,None,,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
stimuli/ma2-aN.wav,2,0,5,5,13,,,,,,,,121.85673562367424,122.15649593272087,None,0,121.8567700573517,None,121.8567700573517,None,2.1,2.6,123.8571869419568,None,125.95720598133857,None,126.70723270017356,None,,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
stimuli/di4-iN.wav,4,0,6,6,27,,,,,,,,128.8074353032605,129.10745183001018,4,1,128.80753945363335,None,128.80753945363335,None,2.1,1.3,130.8074853081796,None,132.92509595777642,None,133.67457909872223,None,1.1121136474148443,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
stimuli/di2-iN.wav,2,0,7,7,25,,,,,,,,135.77454919486058,136.07463296106266,None,0,135.77463317339766,None,135.77463317339766,None,2.0,1.8,137.77472023079395,None,139.7913973844561,None,140.54155716662854,None,,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
stimuli/bu1-iN.wav,1,0,8,8,20,,,,,,,,142.5415698005677,None,1,1,142.54171818742248,None,142.54171818742248,None,2.2,1.2,144.54141100929246,None,146.74243503076377,None,147.4912634717782,None,1.4801378196439146,Subj_041,Run1,group mand,2022_Mar_31_1238,Tone_Learning,2021.1.4,60.027233717153905,
