Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
,,,,,,12.339882338036205,None,5,1,24.90994620136007,12.339882338036205,None,,,,,,,,,,,,,,,,,,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
stimuli/di4-aN.wav,4,0,0,0,7,,,,,,,,37.341129983771,None,4,1,1.1455688139171798,37.3411301607166,None,37.3411301607166,None,2.9,2.7,39.30772666242501,None,42.224545443606985,None,42.97515112951669,None,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
stimuli/null.wav,0,0,1,1,41,,,,,,,,45.8749716709573,46.17478010929608,None,0,,45.87551323166281,None,45.87551323166281,None,3.0,2.1,47.875090330896,None,50.87513492126982,None,51.625105371299924,None,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
stimuli/di4-iN.wav,4,0,2,2,27,,,,,,,,54.625091817241945,None,4,1,1.5753495920689602,54.625597634870246,None,54.625597634870246,None,3.8,2.2,56.624983278610216,None,60.42656991735248,None,61.17583683037492,None,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
stimuli/mi3-iN.wav,3,0,3,3,38,,,,,,,,64.97667275832524,65.27659656540891,3,1,0.9607555166435304,64.97672842551401,None,64.97672842551401,None,3.7,2.2,66.97680486615491,None,70.67651665662834,None,71.42659433589051,None,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
stimuli/ma1-aN.wav,1,0,4,4,12,,,,,,,,75.12680394603618,75.42686470926765,None,0,,75.12685111982,None,75.12685111982,None,3.4,1.6,77.12685961322495,None,80.52856402717634,None,81.29363327319561,None,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
stimuli/di3-iN.wav,3,0,5,5,26,,,,,,,,84.69351079122467,None,3,1,0.9131308741625617,84.69334633767949,None,84.69334633767949,None,2.1,1.2,86.6937933030922,None,88.79548625094776,None,89.56039589174043,None,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
stimuli/bu3-iN.wav,3,0,6,6,22,,,,,,,,91.66046684705739,91.96040304035614,3,1,0.7748051648391083,91.6604853556014,None,91.6604853556014,None,3.8,2.3,93.66041493112243,None,97.46190814241481,None,98.21189734871314,None,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
stimuli/di1-aN.wav,1,0,7,7,4,,,,,,,,102.01190446193974,102.31191815755437,1,1,0.9058481336805926,102.01309329084779,None,102.01309329084779,None,2.9,2.7,104.02860543252336,None,106.92865363259398,None,107.67864567002698,None,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
stimuli/di2-iN.wav,2,0,8,8,25,,,,,,,,110.57879002251471,None,2,1,1.3486974302495582,110.57877951192677,None,110.57877951192677,None,2.5,1.8,112.57934043051682,None,115.07937051132421,None,115.82922771596077,None,Subj_041,Run4,group mand,2022_Mar_31_1300,Tone_Learning,2021.1.4,59.99677267993144,
