Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate
stimuli/ma2-iN.wav,2,0,32,32,33,,,,,,,,324.8213521,325.1213969,None,0,,324.8380908,None,324.8380908,None,3.3,1.7,326.8214833,None,330.1222158,None,330.8723047,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/di2-aN.wav,2,0,33,33,5,,,,,,,,334.1892426,334.4892548,2,1,1.491620547,334.2059997,None,334.2059997,None,3,1.1,336.1893183,None,339.2059059,None,339.955912,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/di1-aN.wav,1,0,34,34,4,,,,,,,,342.9727237,343.2727536,1,1,1.857415348,342.9894564,None,342.9894564,None,3.9,1.8,344.972816,None,348.8728493,None,349.6228809,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/mi4-iN.wav,4,0,35,35,39,,,,,,,,353.5395415,None,4,1,1.583836469,353.5563439,None,353.5563439,None,3.3,2.9,355.5401332,None,358.8403652,None,359.5901922,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/lu3-iN.wav,3,0,36,36,30,,,,,,,,362.9070343,363.2073314,3,1,1.887487035,362.9238044,None,362.9238044,None,3.3,1.4,364.907392,None,368.2074,None,368.9573838,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/ma1-iN.wav,1,0,37,37,32,,,,,,,,372.274803,372.5744713,4,0,1.849551681,372.2915594,None,372.2915594,None,3,2,374.2747785,None,377.2923348,None,378.0425854,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/mi1-aN.wav,1,0,38,38,16,,,,,,,,381.0589317,381.3590356,2,0,1.950507842,381.0756747,None,381.0756747,None,4,2.7,383.058983,None,387.0591132,None,387.8091292,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/mi4-aN.wav,4,0,39,39,19,,,,,,,,391.826154,392.1261485,2,0,1.921102166,391.8422578,None,391.8422578,None,3.5,2.4,393.8261387,None,397.3263303,None,398.0762087,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/ma3-iN.wav,3,0,40,40,34,,,,,,,,401.5930644,401.8929712,3,1,1.819913857,401.6098052,None,401.6098052,None,3.5,2.2,403.5929677,None,407.1107952,None,407.860767,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/ma4-iN.wav,4,0,41,41,35,,,,,,,,411.3775767,411.6775925,3,0,1.783900805,411.3942829,None,411.3942829,None,2.2,1.4,413.3775972,None,415.5793358,None,416.3442907,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/ma2-aN.wav,2,0,42,42,13,,,,,,,,418.5443359,None,2,1,1.884366481,418.5442994,None,418.5442994,None,3.6,2.7,420.5440609,None,424.1453227,None,424.8943474,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/mi3-iN.wav,3,0,43,43,38,,,,,,,,428.5110956,428.811134,4,0,1.836067976,428.5278516,None,428.5278516,None,2.8,2,430.5110654,None,433.3288801,None,434.0788762,None,Subj_004,Run1,2021_Oct_06_1058,Tone_Learning,2021.1.4,60.08682006
stimuli/mi3-iN.wav,,,,44,,,,,,,,,436.8955235,437.1955604,2,0,1.836065498,436.9122837,None,436.9122837,None,3.7,2.8,,,,,,,Subj_004,Run1,,,,
