Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,10.281568155307923,None,5,1,27.670832767094453,10.281568155307923,None,,,,,,,,,,,,,,,,,,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
stimuli/bu2-aN.wav,2,0,0,0,1,,,,,,,,38.03226080666327,None,2,1,1.2179703602405425,38.031435797037375,None,38.031435797037375,None,2.1,2.9,40.01563455527639,None,42.132458777830834,None,42.88236499456434,None,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
stimuli/ma2-aN.wav,2,0,1,1,13,,,,,,,,44.982702048085045,None,1,0,1.738348225408572,44.98280121061816,None,44.98280121061816,None,2.9,1.0,46.98249402618285,None,49.899381879798966,None,50.649090620824154,None,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
stimuli/mi4-aN.wav,4,0,2,2,19,,,,,,,,53.54939964553459,None,4,1,0.9999893830263318,53.54945244728333,None,53.54945244728333,None,3.0,1.8,55.54927018923672,None,58.55100818781011,None,59.316154716201254,None,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
stimuli/di2-aN.wav,2,0,3,3,5,,,,,,,,62.31645722916828,62.616454751874244,2,1,1.0263821176190504,62.31648242678557,None,62.31648242678557,None,2.1,2.3,64.31683030961949,None,66.41716672612165,None,67.16718194378382,None,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
stimuli/bu3-iN.wav,3,0,4,4,22,,,,,,,,69.26722242984287,69.56650401463139,3,1,1.301139130483989,69.26743731738816,None,69.26743731738816,None,3.7,2.0,71.26721365314506,None,74.96730856888871,None,75.71731387737555,None,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
stimuli/lu1-iN.wav,1,0,5,5,28,,,,,,,,79.41745614482106,None,1,1,1.2179087817944492,79.4174997451928,None,79.4174997451928,None,3.5,1.1,81.41740666972419,None,84.9175199174424,None,85.66749337500869,None,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
stimuli/null.wav,0,0,6,6,42,,,,,,,,89.16759664277133,89.46752692464497,None,0,,89.16758078809107,None,89.16758078809107,None,3.9,2.5,91.16754433648157,None,95.06774053815298,None,95.81775221682392,None,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
stimuli/di4-iN.wav,4,0,7,7,27,,,,,,,,99.71784359357643,None,4,1,0.9669624555499468,99.71790241161034,None,99.71790241161034,None,2.7,2.1,101.71796222056128,None,104.43480045752085,None,105.18477426898608,None,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
stimuli/lu3-iN.wav,3,0,8,8,30,,,,,,,,107.8850687130528,108.18481638298135,3,1,0.7384381157844473,107.8852237916467,None,107.8852237916467,None,3.3,2.9,109.88489289597055,None,113.1851536488416,None,113.93509667108356,None,Subj_014,Run3,2021_Oct_18_1014,Tone_Learning,2021.1.4,59.91476080021289,
