Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,10.487187653943238,None,5,1,27.256402280204384,10.487187653943238,None,,,,,,,,,,,,,,,,,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/null.wav,0,0,0,0,44,,,,,,,,37.82095153363107,38.12097623537011,None,0,37.82079313107624,None,37.82079313107624,None,2.4,1.6,39.80443583776423,None,42.20440476594922,None,42.95437079221074,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/di1-iN.wav,1,0,1,1,24,,,,,,,,45.35458864880784,45.65442231904717,1,1,45.35448835550096,None,45.35448835550096,None,3.0,1.9,47.35445190451128,None,50.37098826773581,None,51.1211850323034,None,1.1616700498848331,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/mi2-iN.wav,2,0,2,2,37,,,,,,,,54.12114766119121,54.42168487092795,None,0,54.12134074527057,None,54.12134074527057,None,3.2,1.7,56.1212678432903,None,59.33811053638874,None,60.087827068009574,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/lu4-aN.wav,4,0,3,3,11,,,,,,,,63.28810345852671,None,3,0,63.288166663835455,None,63.288166663835455,None,3.7,1.3,65.28813445956257,None,69.00502563601685,None,69.75502598990988,None,0.9812238472991339,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/mi4-iN.wav,4,0,4,4,39,,,,,,,,73.47153524492222,73.77212185813687,2,0,73.48849281172306,None,73.48849281172306,None,2.3,2.0,75.47244022037648,None,77.77253555917923,None,78.52256917902469,None,1.2524616804544166,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/ma4-iN.wav,4,0,5,5,35,,,,,,,,80.82258432564967,81.12256804656681,2,0,80.82258064516145,None,80.82258064516145,None,3.3,1.7,82.82260895660966,None,86.1226321012191,None,86.87263917908103,None,1.9599569949100442,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/di4-aN.wav,4,0,6,6,7,,,,,,,,90.1727849122627,None,4,1,90.17274336521177,None,90.17274336521177,None,2.5,1.3,92.17276247543987,None,94.68952214521505,None,95.43948710979748,None,1.9489275623277535,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/di1-aN.wav,1,0,7,7,4,,,,,,,,97.93956935455535,98.2395484748622,None,0,97.93954231712223,None,97.93954231712223,None,3.1,2.1,99.93952922307699,None,103.05637198695422,None,103.80633235092591,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/di3-aN.wav,3,0,8,8,6,,,,,,,,106.90635436307738,None,4,0,106.9063966886929,None,106.9063966886929,None,3.5,1.4,108.90642323067595,None,112.40769901532758,None,113.1731956406029,None,1.6733138409008461,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/lu1-iN.wav,1,0,9,9,28,,,,,,,,116.67329558001674,None,None,0,116.67319422503078,None,116.67319422503078,None,2.9,1.0,118.67338922013278,None,121.59036802052015,None,122.34038217624447,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/lu2-iN.wav,2,0,10,10,29,,,,,,,,125.24039972934233,125.54044078094284,2,1,125.24042082137157,None,125.24042082137157,None,3.9,1.1,127.24070853646799,None,131.15725240222628,None,131.90743111824577,None,1.2103161964137144,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/mi3-aN.wav,3,0,11,11,18,,,,,,,,135.80734179562532,136.1073481657013,1,0,135.80734908582326,None,135.80734908582326,None,3.1,2.9,137.80693396920833,None,140.92416318435835,None,141.6741692005412,None,1.2718323735753074,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/lu3-iN.wav,3,0,12,12,30,,,,,,,,144.7742018294858,None,2,0,144.77452408454928,None,144.77452408454928,None,4.0,2.8,146.77433510563014,None,150.77441791661704,None,151.52487089979422,None,1.2726010294040861,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/di2-aN.wav,2,0,13,13,5,,,,,,,,155.5244460157297,None,None,0,155.524477016766,None,155.524477016766,None,4.0,2.3,157.52448798745218,None,161.54218865899975,None,162.2921284971717,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/ma2-aN.wav,2,0,14,14,13,,,,,,,,166.29261524175135,None,4,0,166.29278886171005,None,166.29278886171005,None,2.5,1.4,168.2922428046454,None,170.79403456544742,None,171.559017691824,None,1.9655842492088595,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/di2-iN.wav,2,0,15,15,25,,,,,,,,174.05907799520955,174.3590089860536,None,0,174.05900530556528,None,174.05900530556528,None,3.0,2.3,176.05907325304224,None,179.07577877717176,None,179.82576816037863,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/null.wav,0,0,16,16,42,,,,,,,,182.82579095109494,183.12582775597775,None,0,182.8258410623589,None,182.8258410623589,None,3.5,2.8,184.82587220495225,None,188.325884945104,None,189.0759408602148,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/bu3-iN.wav,3,0,17,17,22,,,,,,,,192.57604752359757,192.87601142650055,None,0,192.5759953597535,None,192.5759953597535,None,2.6,2.9,194.57603853471255,None,197.19283635416468,None,197.94278680912976,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/bu1-iN.wav,1,0,18,18,20,,,,,,,,200.54281908418133,None,3,0,200.5429537758978,None,200.5429537758978,None,4.0,2.3,202.54284548460691,None,206.54477632540056,None,207.30970919895572,None,1.099070605921952,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/mi1-aN.wav,1,0,19,19,16,,,,,,,,211.30983992706987,None,1,1,211.3098468633748,None,211.3098468633748,None,3.0,1.7,213.30984190887102,None,216.32678595695506,None,217.07680435939665,None,1.4191428567387447,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/ma3-iN.wav,3,0,20,20,34,,,,,,,,220.0773509119118,220.37688554247552,3,1,220.07703049709244,None,220.07703049709244,None,3.0,2.5,222.07690132610833,None,225.07695299450188,None,225.8266868668852,None,1.3821235143568629,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/null.wav,0,0,21,21,40,,,,,,,,228.82699135651464,229.12712512810913,None,0,228.8270128024369,None,228.8270128024369,None,3.6,1.2,230.82708535052416,None,234.42725125561265,None,235.1771755224877,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/lu1-aN.wav,1,0,22,22,8,,,,,,,,238.77719187234933,None,None,0,238.7772848046793,None,238.7772848046793,None,3.7,1.5,240.7773032071209,None,244.49413492953272,None,245.24405388801097,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/mi3-iN.wav,3,0,23,23,38,,,,,,,,248.9451711285511,249.24524155327936,1,0,248.94523610332544,None,248.94523610332544,None,3.0,2.8,250.9452063763042,None,253.94676102872472,None,254.71169885678364,None,1.330166343916062,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/bu4-aN.wav,4,0,24,24,3,,,,,,,,257.7121321635042,258.012051829769,None,0,257.71304258891223,None,257.71304258891223,None,2.9,2.3,259.7120686750809,None,262.62910976065496,None,263.37922300644914,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/ma2-iN.wav,2,0,25,25,33,,,,,,,,266.2789195784991,None,3,0,266.2792970408873,None,266.2792970408873,None,2.9,2.9,268.27898738441854,None,271.18015954916837,None,271.945687317037,None,1.9004296970106225,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/di3-iN.wav,3,0,26,26,26,,,,,,,,274.84582908661616,275.14575087623916,None,0,274.8457790461307,None,274.8457790461307,None,3.2,1.5,276.8455405221762,None,280.0625417593865,None,280.81250070778606,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/null.wav,0,0,27,27,41,,,,,,,,284.01256511633176,284.3125675935835,None,0,284.0123197268513,None,284.0123197268513,None,2.2,3.0,286.01265486362354,None,288.2133886963711,None,288.963302346453,None,,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
stimuli/mi2-aN.wav,2,0,28,28,17,,,,,,,,291.1634131149955,291.4633851574399,1,0,291.16339598656896,None,291.16339598656896,None,2.4,2.0,293.1634770280907,None,295.56493726183,None,296.3302006715476,None,1.1503196362546078,Subj_023,Run1,2021_Oct_25_1024,Tone_Learning,2021.1.4,60.093658685874225,
