Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate
stimuli/lu3-aN.wav,3,0,31,31,10,,,,,,,,320.758506,321.0585827,3,1,320.7586284,None,320.7586284,None,3.8,1.2,322.7586178,None,326.5592962,None,327.3085799,None,1.17237152,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/lu3-iN.wav,3,0,32,32,30,,,,,,,,331.1089312,331.4089849,3,1,331.1089836,None,331.1089836,None,4,1.6,333.1090632,None,337.1091616,None,337.8591966,None,0.985766177,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/ma2-aN.wav,2,0,33,33,13,,,,,,,,341.8591638,342.1592033,3,0,341.8592065,None,341.8592065,None,4,2,343.859805,None,347.8765925,None,348.6265989,None,1.398218967,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/mi4-aN.wav,4,0,34,34,19,,,,,,,,352.6264885,352.9268947,4,1,352.6275944,None,352.6275944,None,2.3,1.9,354.6268838,None,356.9284851,None,357.6934869,None,1.276710182,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/lu1-iN.wav,1,0,35,35,28,,,,,,,,359.9936493,None,2,0,359.9942782,None,359.9942782,None,3.9,1.1,361.9936659,None,365.8940677,None,366.6435054,None,1.356036316,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/di3-iN.wav,3,0,36,36,26,,,,,,,,370.5437936,None,3,1,370.5444193,None,370.5444193,None,2.3,1.6,372.5439171,None,374.8451203,None,375.610522,None,0.968192609,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/di1-iN.wav,1,0,37,37,24,,,,,,,,377.9105825,None,1,1,377.9105584,None,377.9105584,None,3.5,1.7,379.9105538,None,383.4106564,None,384.1607367,None,1.357240988,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/bu3-aN.wav,3,0,38,38,2,,,,,,,,387.6605372,None,3,1,387.6607389,None,387.6607389,None,2.5,2.6,389.6607548,None,392.160896,None,392.9108854,None,0.915932326,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/di4-aN.wav,4,0,39,39,7,,,,,,,,395.4109505,None,4,1,395.4109576,None,395.4109576,None,3,2.2,397.4113861,None,400.4114774,None,401.1615259,None,1.314103871,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/lu4-iN.wav,4,0,40,40,31,,,,,,,,404.1619705,None,4,1,404.1620932,None,404.1620932,None,2.9,1.1,406.1623013,None,409.0622314,None,409.8121981,None,1.296745827,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/ma1-iN.wav,1,0,41,41,32,,,,,,,,412.7121516,None,1,1,412.712279,None,412.712279,None,2.5,2.2,414.7122595,None,417.2125752,None,417.962354,None,1.330354211,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/lu4-aN.wav,4,0,42,42,11,,,,,,,,420.4622719,None,4,1,420.4624081,None,420.4624081,None,2.8,2.3,422.462406,None,425.2625043,None,426.012493,None,1.14939462,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/mi1-iN.wav,1,0,43,43,36,,,,,,,,428.8124508,None,1,1,428.8127743,None,428.8127743,None,3.2,2.7,430.812581,None,434.01259,None,434.7623486,None,1.072717775,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/mi1-iN.wav,,,,44,,,,,,,,,437.9626531,None,None,0,437.9627588,None,437.9627588,None,3.5,3,439.9627634,None,443.4794431,None,,,,Subj_010,Run2,,,,
