Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
,,,,,,29.635807099999965,None,5,1,24.540941399999838,29.635807099999965,None,,,,,,,,,,,,,,,,,,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/di1-iN.wav,1,0,0,0,24,,,,,,,,54.46737323333335,None,1,1,1.5204091000000517,54.49048850000008,None,54.49048850000008,None,3.1,2.5,56.26707929999998,None,59.42566519999991,None,60.179064100000005,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/ma4-aN.wav,4,0,1,1,15,,,,,,,,63.296374766666545,None,3,0,1.4521053999999367,63.31381250000004,None,63.31381250000004,None,3.8,2.5,65.32483180000008,None,69.15539790000003,None,69.90676269999994,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/mi2-aN.wav,2,0,2,2,17,,,,,,,,73.73874683333341,None,2,1,1.3143754000000172,73.74671269999999,None,73.74671269999999,None,2.3,1.2,75.74938440000005,None,78.0832785,None,78.83066759999997,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/bu2-iN.wav,2,0,3,3,21,,,,,,,,81.16407503333338,None,2,1,1.3375582999999551,81.17339420000008,None,81.17339420000008,None,3.5,1.2,83.16443279999999,None,86.69346189999987,None,87.46448170000008,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/ma1-aN.wav,1,0,4,4,12,,,,,,,,90.98996833333334,None,1,1,1.580465199999935,90.99745089999988,None,90.99745089999988,None,2.5,2.4,92.9806853,None,95.4986077000001,None,96.27458159999992,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/di1-aN.wav,1,0,5,5,4,,,,,,,,98.80806573333328,None,1,1,0.8813241000000289,98.81571230000009,None,98.81571230000009,None,2.5,2.9,100.80917099999988,None,103.33232090000001,None,104.10876669999993,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/ma2-aN.wav,2,0,6,6,13,,,,,,,,106.64059163333334,None,2,1,1.5538949000001594,106.64807219999989,None,106.64807219999989,None,3.1,1.1,108.66056090000006,None,111.77800389999993,None,112.54090380000002,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/lu1-iN.wav,1,0,7,7,28,,,,,,,,115.67428643333326,None,1,1,1.9118247999999767,115.68193380000002,None,115.68193380000002,None,2.8,1.9,117.67511809999996,None,120.49551440000005,None,121.26637559999995,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/di3-aN.wav,3,0,8,8,6,,,,,,,,124.10013073333337,None,3,1,1.8492409999998927,124.10870320000004,None,124.10870320000004,None,3.1,2.0,126.11443510000004,None,129.23371789999987,None,130.00983939999992,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
stimuli/lu1-aN.wav,1,0,9,9,8,,,,,,,,133.13136673333344,None,1,1,1.8841110999999273,133.13862889999996,None,133.13862889999996,None,2.2,1.9,135.14604759999997,None,137.36767710000004,None,138.1439938000001,None,Subj_048,Run1,groupMand,2022_Sep_16_1351,Tone_Learning,2021.1.4,None,
