Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,11.715417421496568,None,5,1,19.54752657135805,11.715417421496568,None,,,,,,,,,,,,,,,,,,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
stimuli/ma2-aN.wav,2,0,0,0,13,,,,,,,,31.35036856445481,31.64978007164973,1,0,1.2688009631619934,31.34987417245975,None,31.34987417245975,None,2.4,2.2,33.299798668857875,None,35.7168163703559,None,36.46684830942377,None,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
stimuli/lu2-aN.wav,2,0,1,1,9,,,,,,,,38.866866570430695,None,3,0,1.2696736694329047,38.86682665101989,None,38.86682665101989,None,3.8,1.6,40.86683726788442,None,44.66705123309612,None,45.41675157209238,None,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
stimuli/bu1-iN.wav,1,0,2,2,20,,,,,,,,49.21783321825874,49.51743342252712,1,1,1.4066620117614548,49.217427370914265,None,49.217427370914265,None,2.0,2.1,51.21728439713752,None,53.233999234877956,None,53.98483274722366,None,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
stimuli/null.wav,0,0,3,3,41,,,,,,,,55.98441331029276,56.284408815819916,None,0,,55.984073995299696,None,55.984073995299696,None,2.1,2.0,57.98491591266293,None,60.08487829357273,None,60.83478636922018,None,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
stimuli/ma1-aN.wav,1,0,4,4,12,,,,,,,,62.934945799136905,63.23487371062629,1,1,0.8634359783600303,62.93569683613896,None,62.93569683613896,None,2.6,1.8,64.93518651884688,None,67.53551217347422,None,68.28515942814738,None,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
stimuli/lu4-iN.wav,4,0,5,5,31,,,,,,,,70.88519198653225,None,1,0,1.24655403117049,70.88578801731137,None,70.88578801731137,None,3.6,1.3,72.88515666776266,None,76.50177071606868,None,77.25148167192992,None,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
stimuli/bu4-aN.wav,4,0,6,6,3,,,,,,,,80.85183910637156,None,4,1,0.932696156306065,80.85175105717462,None,80.85175105717462,None,2.0,2.1,82.85181652783967,None,84.85347771325496,None,85.61849924956505,None,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
stimuli/bu3-iN.wav,3,0,7,7,22,,,,,,,,87.6338515189021,87.93508530473764,3,1,1.2841550727553113,87.63465776359999,None,87.63465776359999,None,3.8,2.7,89.63498122407509,None,93.43536895197076,None,94.18549962787893,None,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
stimuli/bu4-iN.wav,4,0,8,8,23,,,,,,,,97.98658976753708,98.28646176353914,3,0,1.963119489626024,97.9872268501922,None,97.9872268501922,None,3.0,2.5,99.98655586434916,None,102.98859890299491,None,103.75341305654956,None,Subj_005,Run4,2021_Oct_05_1226,Tone_Learning,2021.1.4,59.97820088296487,
