Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,29.837790837173088,None,5,1,32.709767273638136,29.837790837173088,None,,,,,,,,,,,,,,,,,,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
stimuli/null.wav,0,0,0,0,42,,,,,,,,62.62248664235267,62.92261269863047,None,0,62.62138313676951,None,62.62138313676951,None,3.9,1.4,64.60591169265717,None,68.50707040536872,None,69.2568762956871,None,,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
stimuli/ma2-aN.wav,2,0,1,1,13,,,,,,,,73.15699343389042,73.45694162412292,1,0,73.15698218012949,None,73.15698218012949,None,3.6,1.2,75.15694183645792,None,78.77381992991468,None,79.52365413158077,None,1.7256510017614346,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
stimuli/ma4-iN.wav,4,0,2,2,35,,,,,,,,83.12370742769508,83.42380106747987,None,0,83.1237704912237,None,83.1237704912237,None,2.1,2.5,85.12373368647059,None,87.2406722954347,None,87.99053126953004,None,,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
stimuli/mi4-aN.wav,4,0,3,3,19,,,,,,,,90.0904511484141,90.3906375078659,None,0,90.0910938868019,None,90.0910938868019,None,2.1,1.2,92.0905690651798,None,94.19057996505035,None,94.94063641079993,None,,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
stimuli/di3-aN.wav,3,0,4,4,6,,,,,,,,97.04055805914413,None,1,0,97.0408522140533,None,97.0408522140533,None,3.8,2.9,99.04065014180378,None,102.84233197745561,None,103.60729965651262,None,1.1706409901617008,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
stimuli/mi1-aN.wav,1,0,5,5,16,,,,,,,,107.40742217387287,None,1,1,107.40745267935017,None,107.40745267935017,None,3.4,1.4,109.4074123356786,None,112.8245184770476,None,113.5749719894593,None,1.9276163755657763,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
stimuli/di4-aN.wav,4,0,6,6,7,,,,,,,,116.97494863259726,None,2,0,116.97494551834825,None,116.97494551834825,None,2.6,2.6,118.9750683188231,None,121.57678002294597,None,122.34189208988028,None,1.7546089105726423,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
stimuli/bu2-iN.wav,2,0,7,7,21,,,,,,,,124.9418218777364,125.24178634699456,None,0,124.9417649719253,None,124.9417649719253,None,2.0,2.7,126.94182796467612,None,128.9437549058257,None,129.70857996646555,None,,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
stimuli/mi2-aN.wav,2,0,8,8,17,,,,,,,,131.70912453525216,None,None,0,131.70928916574303,None,131.70928916574303,None,3.8,1.9,133.7086606538087,None,137.5087835958384,None,138.25882376256413,None,,Subj_015,Run1,2021_Oct_20_1204,Tone_Learning,2021.1.4,59.81769262195086,
