Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
,,,,,,16.314137678310317,None,5,1,22.86781720039312,16.314137678310317,None,,,,,,,,,,,,,,,,,,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
stimuli/lu3-iN.wav,3,0,0,0,30,,,,,,,,39.263201735744815,39.56336859345129,3,1,1.0645964042962532,39.264665341477894,None,39.264665341477894,None,2.1,2.2,41.24669142223979,None,43.36346315204992,None,44.11345156225161,None,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
stimuli/null.wav,0,0,1,1,43,,,,,,,,46.21353285008877,46.51354484685703,None,0,,46.21349540884739,None,46.21349540884739,None,2.2,2.2,48.21353079754431,None,50.41355939161167,None,51.16358743715409,None,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
stimuli/ma1-aN.wav,1,0,2,2,12,,,,,,,,53.36359118835594,None,1,1,1.2783667833195977,53.3636899935982,None,53.3636899935982,None,3.9,1.3,55.36380996128105,None,59.26494915882836,None,60.01413813836325,None,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
stimuli/null.wav,0,0,3,3,42,,,,,,,,63.91443784523881,64.21447390632102,None,0,,63.91447896690465,None,63.91447896690465,None,2.1,1.7,65.9145168328107,None,68.01486997661868,None,68.76508275115975,None,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
stimuli/mi2-aN.wav,2,0,4,4,17,,,,,,,,70.86485544955849,None,3,0,1.1969083726473855,70.8649708874882,None,70.8649708874882,None,3.4,2.4,72.86493620656506,None,76.26670656152442,None,77.03169588652395,None,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
stimuli/lu3-aN.wav,3,0,5,5,10,,,,,,,,80.4317544194289,80.73161990699145,3,1,1.279659178536349,80.43179341777295,None,80.43179341777295,None,2.9,2.8,82.43180120328634,None,85.34856875723017,None,86.09862582150436,None,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
stimuli/mi2-iN.wav,2,0,6,6,37,,,,,,,,88.99905540489794,89.29908615767567,1,0,1.225849602991957,88.99907281613696,None,88.99907281613696,None,3.5,2.3,90.99926108400518,None,94.49986322268569,None,95.249375654912,None,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
stimuli/lu4-aN.wav,4,0,7,7,11,,,,,,,,98.74955836675485,None,4,1,1.425069565331114,98.74954145095762,None,98.74954145095762,None,2.1,1.9,100.75010802399765,None,102.85157343455444,None,103.61681437318998,None,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
stimuli/di4-iN.wav,4,0,8,8,27,,,,,,,,105.71715222908097,106.01698975957265,4,1,1.879643041290592,105.71729951683801,None,105.71729951683801,None,3.2,2.6,107.7169353671452,None,110.91759671111595,None,111.66754477820314,None,Subj_043,Run4,group_mand,2022_Jun_01_1725,Tone_Learning,2021.1.4,59.90563957755302,
