Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
,,,,,,19.411042254358563,None,5,1,21.53469704385452,19.411042254358563,None,,,,,,,,,,,,,,,,,,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/lu3-iN.wav,3,0,0,0,30,,,,,,,,41.012584187908764,41.312161385978015,2,0,1.6187573721372246,41.01163439647826,None,41.01163439647826,None,2.0,2.3,42.99593371207493,None,44.996949753209265,None,45.74637228016127,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/di1-aN.wav,1,0,1,1,4,,,,,,,,47.746262642563536,None,1,1,0.8849859838701377,47.74629583819524,None,47.74629583819524,None,2.8,1.5,49.74630079276676,None,52.56303754893088,None,53.313002601504195,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/bu4-iN.wav,4,0,2,2,23,,,,,,,,56.113020225624,None,1,0,1.4290570777297944,56.11300281384274,None,56.11300281384274,None,3.2,2.1,58.11303820364219,None,61.31466486037107,None,62.0797119836584,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/di2-iN.wav,2,0,3,3,25,,,,,,,,65.28031559207325,65.58020867948971,1,0,1.292469440023524,65.28030915113004,None,65.28030915113004,None,2.2,2.9,67.28021076748837,None,69.48018330500372,None,70.23061868800824,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/lu1-iN.wav,1,0,4,4,28,,,,,,,,72.4306394264308,72.73059656938358,1,1,1.3188886329035086,72.43060927432134,None,72.43060927432134,None,2.9,2.8,74.43064678750898,None,77.33182041941882,None,78.09737149344573,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/bu4-aN.wav,4,0,5,5,3,,,,,,,,80.99740847578637,81.2974264891941,1,0,1.233236471452983,80.99748767815663,None,80.99748767815663,None,3.9,2.6,82.99715253675868,None,86.91423954576521,None,87.6642368030557,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/di4-aN.wav,4,0,6,6,7,,,,,,,,91.56426918472194,91.86454872874538,2,0,1.3898002352007097,91.56434944878629,None,91.56434944878629,None,3.3,2.1,93.56452073541413,None,96.86436045501387,None,97.61447414474378,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/lu2-aN.wav,2,0,7,7,9,,,,,,,,100.91439639335518,101.21439175729074,1,0,1.416653307017441,100.91438995241106,None,100.91438995241106,None,2.3,1.4,102.91443666694659,None,105.21442113082458,None,105.96444882334208,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/null.wav,0,0,8,8,44,,,,,,,,108.26450130641429,108.56451790422989,None,0,,108.2646576585471,None,108.2646576585471,None,2.3,2.5,110.26446159905981,None,112.56454338488538,None,113.31458558722125,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/ma1-aN.wav,1,0,9,9,12,,,,,,,,115.61450925142476,115.91456371632512,1,1,1.115914332621287,115.61484821492058,None,115.61484821492058,None,3.4,2.0,117.61482238036706,None,121.01601353022807,None,121.7814393243666,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/ma2-aN.wav,2,0,10,10,13,,,,,,,,125.18249712546317,None,3,0,1.642704941442389,125.18236646632477,None,125.18236646632477,None,3.8,2.8,127.18248396045828,None,130.9841765129936,None,131.74914471702823,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/bu1-aN.wav,1,0,11,11,0,,,,,,,,135.54923276684843,135.84924122501116,2,0,1.3078749735013844,135.54917501069622,None,135.54917501069622,None,2.4,1.2,137.54930630685112,None,139.9492857099881,None,140.69929075303435,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/ma4-iN.wav,4,0,12,12,35,,,,,,,,143.0986654152834,None,4,1,1.2345271374288131,143.09907338888797,None,143.09907338888797,None,3.6,1.9,145.0993119161344,None,148.71609595307064,None,149.46609497985128,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/bu1-iN.wav,1,0,13,13,20,,,,,,,,153.06604239060965,153.36604695589313,1,1,1.347161189563849,153.06600834562278,None,153.06600834562278,None,2.1,2.5,155.06608903436472,None,157.16619474369463,None,157.9158618141587,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/bu2-iN.wav,2,0,14,14,21,,,,,,,,160.0161654232465,160.3161668034486,3,0,1.137804692899408,160.0161717226306,None,160.0161717226306,None,3.8,1.5,162.01624533341283,None,165.83281186464274,None,166.58307171424303,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/ma3-iN.wav,3,0,15,15,34,,,,,,,,170.38307659803507,170.68292863328452,3,1,1.4677639627798271,170.38312784246455,None,170.38312784246455,None,2.9,1.3,172.38267874591338,None,175.28397659601842,None,176.03317298215325,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/mi4-iN.wav,4,0,16,16,39,,,,,,,,178.9331742207964,None,2,0,1.6852420644572703,178.93316282528076,None,178.93316282528076,None,3.8,2.7,180.93393609239274,None,184.7337848363909,None,185.48399266298702,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/mi1-aN.wav,1,0,17,17,16,,,,,,,,189.28412601174972,189.58412279127833,1,1,0.834119871619805,189.28411992470456,None,189.28411992470456,None,3.1,1.0,191.28417937956738,None,194.40098093445386,None,195.15082141493394,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/null.wav,0,0,18,18,43,,,,,,,,198.250964354333,198.55098944570045,None,0,,198.2508857181988,None,198.2508857181988,None,3.5,2.4,200.25105629703057,None,203.75104585704003,None,204.5012961513944,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/lu4-aN.wav,4,0,19,19,11,,,,,,,,208.00108441422657,None,4,1,1.5487312226150607,208.00109849936644,None,208.00109849936644,None,3.1,2.9,210.0006207370775,None,213.1022397142201,None,213.86783608719043,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/di3-aN.wav,3,0,20,20,6,,,,,,,,216.96792027952273,None,3,1,1.5897554317143658,216.96784093559336,None,216.96784093559336,None,2.3,1.8,218.96781439324377,None,221.26789476347722,None,222.0180091610032,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/mi3-iN.wav,3,0,21,21,38,,,,,,,,224.31798909498724,None,2,0,1.1362801003515415,224.31800034894377,None,224.31800034894377,None,3.6,2.1,226.3179401862849,None,229.91848738335966,None,230.66800015429953,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
stimuli/ma2-iN.wav,2,0,22,22,33,,,,,,,,234.2680056043286,None,2,1,1.7967977894113574,234.26803313759274,None,234.26803313759274,None,2.8,2.1,236.26805437147186,None,239.0692433271647,None,239.818292845634,None,Subj_040,Run4,group_mand,2022_Mar_11_1605,Tone_Learning,2021.1.4,60.1003703002661,
