Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
,,,,,,14.67326630000025,None,5,1,25.18541450000157,14.67326630000025,None,,,,,,,,,,,,,,,,,,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/ma3-aN.wav,3,0,0,0,14,,,,,,,,39.92202424000006,40.22115340000164,2,0,1.2123288999991928,39.92025990000002,None,39.92025990000002,None,3.2,2.4,41.90496180000082,None,45.105539500000305,None,45.85521830000107,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/lu2-iN.wav,2,0,1,1,29,,,,,,,,49.054822980000424,49.354971200000364,2,1,1.5886797999992268,49.054802100001325,None,49.054802100001325,None,2.3,1.6,51.054546200000914,None,53.35837590000119,None,54.1228411000011,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/ma4-iN.wav,4,0,2,2,35,,,,,,,,56.42234738000097,None,4,1,1.123057400000107,56.422544000000926,None,56.422544000000926,None,3.0,2.2,58.42175170000155,None,61.42283050000151,None,62.17252990000088,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/null.wav,0,0,3,3,41,,,,,,,,65.17193458000092,65.4718010000015,None,0,,65.173913300001,None,65.173913300001,None,2.7,3.0,67.18779960000029,None,69.88889220000056,None,70.6383052000001,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/lu3-iN.wav,3,0,4,4,30,,,,,,,,73.33858858000148,None,2,0,1.4942129999999452,73.33822830000099,None,73.33822830000099,None,2.9,1.2,75.3385085000009,None,78.2404985000012,None,79.00520600000164,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/ma1-iN.wav,1,0,5,5,32,,,,,,,,81.90488617999999,None,1,1,0.992091199999777,81.9045453000017,None,81.9045453000017,None,2.9,2.5,83.9050823000016,None,86.80493710000155,None,87.55595930000163,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/null.wav,0,0,6,6,42,,,,,,,,90.45528868000092,90.75489460000063,None,0,,90.45517660000041,None,90.45517660000041,None,3.3,2.6,92.45493070000157,None,95.7551953000002,None,96.50515270000142,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/lu3-aN.wav,3,0,7,7,10,,,,,,,,99.80551168000038,100.10599110000112,3,1,1.1171725999993214,99.80549229999997,None,99.80549229999997,None,3.4,1.4,101.80511000000115,None,105.20526229999996,None,105.95504540000002,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/bu4-iN.wav,4,0,8,8,23,,,,,,,,109.35590438000126,109.65564600000107,4,1,1.7629142999994656,109.35564610000074,None,109.35564610000074,None,3.3,1.4,111.35549700000047,None,114.65507250000155,None,115.40553690000161,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/mi4-iN.wav,4,0,9,9,39,,,,,,,,118.70540358000089,119.00544320000154,4,1,1.6324796999997488,118.70525340000131,None,118.70525340000131,None,2.4,2.6,120.70596790000127,None,123.10570930000176,None,123.85528420000082,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/mi2-aN.wav,2,0,10,10,17,,,,,,,,126.25588298000166,126.55530550000003,2,1,1.4047774999999092,126.25561300000118,None,126.25561300000118,None,2.5,1.3,128.25587270000142,None,130.75495590000173,None,131.50552480000079,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/bu1-iN.wav,1,0,11,11,20,,,,,,,,134.00543598000132,134.30634610000016,1,1,1.465226000000257,134.00540380000166,None,134.00540380000166,None,2.9,1.0,136.00584810000146,None,138.90560880000157,None,139.65663590000077,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
stimuli/lu4-iN.wav,4,0,12,12,31,,,,,,,,142.5559129800002,142.8556391000002,4,1,1.333647800000108,142.5562557000012,None,142.5562557000012,None,2.7,1.1,144.55662330000087,None,147.25621440000032,None,148.00636380000105,None,Subj_049,Run2,group_Mand,2022_Sep_15_1532,Tone_Learning,2021.1.4,59.53171164951997,
